RID;NIVEAU;"Hoved
afdeling";KODE;KODE1;Rettelser;NACE_TITEL_DK;NACE_TITEL_ENG;DB25_GENERELLE_NOTER;DB25_OMFATTER;DB25_OMFATTER_OGSÅ;DB25_OMFATTER_IKKE
1001;1;A;A;A;;LANDBRUG, JAGT, SKOVBRUG OG FISKERI;AGRICULTURE, FORESTRY AND FISHING;"Denne hovedafdeling omfatter udnyttelsen af planteressourcer og animalske ressourcer, herunder dyrkning af afgrøder, husdyropdræt og -avl, høst af træer og andre planter, produktion af animalske produkter fra landbrug eller naturlige levesteder.

Hovedafdelingen omfatter også økologisk landbrug, akvakultur, dyrkning af genmodificerede afgrøder og opdræt af genmodificerede dyr.";;;
1002;2;A;01;1;;Plante- og husdyravl, jagt og serviceydelser i forbindelse hermed;Crop and animal production, hunting and related service activities;"Denne hovedgruppe omfatter to grundlæggende aktiviteter, nemlig produktion af vegetabilske produkter og produktion af animalske produkter.

Blandet landbrugsdrift (gruppe 01.5) bryder med de sædvanlige principper til identifikation af hovedaktivitet. Den tager højde for, at mange landbrug har et rimeligt balanceret forhold mellem plante- og husdyravl, og at en klassifikation i den ene eller anden kategori ville blive tilfældig.

Denne hovedgruppe omfatter jordløs dyrkning af afgrøder, fx ved hjælp af hydrokultur- og akvakulturmetoder. Denne hovedgruppe omfatter også serviceydelser i forbindelse med landbrug og jagt, fældefangst og aktiviteter i forbindelse hermed.

Landbrugsaktiviteter omfatter ikke efterfølgende forarbejdning af landbrugsprodukter, som er klassificeret under hovedgruppe 10 (Fremstilling af fødevarer) og 11 (Fremstilling af drikkevarer) og hovedgruppe 12 (Fremstilling af tobaksvarer) ud over den forarbejdning, der er nødvendig for afsætningen på de primære markeder. Forarbejdning af produkter til de primære markeder er omfattet her.

Denne hovedgruppe omfatter ikke anlæg af marker (fx anlæg af terrasser til dyrkning, dræning eller anlæg af rismarker), som er klassificeret i hovedafdeling F (Bygge- og anlægsaktiviteter), og omfatter heller ikke købere og handelskooperativer, der markedsfører landbrugsprodukter klassificeret i hovedafdeling G. Desuden er landskabspleje, som er klassificereret i undergruppe 81.30, heller ikke omfattet.";;;
1003;3;A;01.1;11;;Dyrkning af etårige afgrøder;Growing of non-perennial crops;Denne gruppe omfatter dyrkning af etårige afgrøder, dvs. planter, der ikke holder mere end to vækstsæsoner. Gruppen omfatter også dyrkning af disse planter til såsæd- og frøproduktion.;;;
1004;4;A;01.11;111;;Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;Growing of cereals, other than rice, leguminous crops and oil seeds;"Denne undergruppe omfatter alle former for dyrkning af korn, bælgfrugter og olieholdige frø på friland. 

Undergruppen omfatter også dyrkning af disse planter til såsæd- og frøproduktion. Dyrkning af disse afgrøder er ofte kombineret inden for landbrugsbedrifter.";;;
1005;5;A;01.11.00;11100;;Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;Growing of cereals, other than rice, leguminous crops and oil seeds;Branchen omfatter dyrkning af alle former for korn (undtagen ris), herunder pseudo-korn (fx quinoa), bælgfrugter og olieholdige frø.;"- dyrkning af kornarter, fx:
• hvede
• kernemajs
• durra
• byg
• rug
• havre
• hirse
- pseudokornarter, frugter eller frø - anvendt som korn, fx:
• quinoa
• amarant
• chia
- dyrkning af bælgfrugter, fx:
• bønner
• hestebønner
• kikærter
• vignabønner
• linser
• lupiner
• ærter
• ærtebønner
- dyrkning af olieholdige frø, fx:
• sojabønner
• jordnødder
• castorbønner
• hørfrø
• sennepsfrø
• nigerfrø
• rapsfrø
• saflorfrø
• sesamfrø
• solsikkefrø";;"- dyrkning af ris, jf. 01.12.00
- dyrkning af sukkermajs, jf. 01.13.00
- dyrkning af majs, lupiner og kål til foder, jf. 01.19.00
- dyrkning af olieholdige frugter, jf. 01.26.00"
1006;4;A;01.12;112;;Dyrkning af ris;Growing of rice;;;;
1007;5;A;01.12.00;11200;;Dyrkning af ris;Growing of rice;Branchen omfatter dyrkning af ris.;- dyrkning af ris;;
1008;4;A;01.13;113;;Dyrkning af grøntsager og meloner, rødder og rodknolde;Growing of vegetables and melons, roots and tubers;;;;
1009;5;A;01.13.00;11300;;Dyrkning af grøntsager og meloner, rødder og rodknolde;Growing of vegetables and melons, roots and tubers;"Branchen omfatter dyrkning af grøntsager og meloner, rødder og rodknolde, fx agurker, tomater, kartofler, maniok og honningmeloner.

Dyrkning af krydderiplanter og aromaplanter henvises til 01.28.00.";"- dyrkning af blad- og stængelgrøntsager, fx:
• artiskokker
• asparges
• kål
• blomkål og broccoli
• salat og julesalat
• spinat
- dyrkning af frugtbærende grøntsager, fx:
• agurker og asier
• auberginer
• tomater
• vandmeloner
- dyrkning af rodfrugter, løg- og knoldgrøntsager, fx:
• gulerødder
• majroer
• hvidløg
• løg (inkl. skalotteløg)
• porrer og andre løgagtige grøntsager
- dyrkning af svampe og trøfler
- dyrkning af grøntsagsfrø, herunder sukkerroefrø, bortset fra andre roefrø
- dyrkning af sukkerroer
- dyrkning af chilipebere, peberfrugter (Capsicum spp.)
- dyrkning af rødder og rodknolde, fx:
• kartofler
• søde kartofler
• kassava
• yams
• kålroer og beder";- dyrkning af sukkermajs;"- dyrkning af krydderiplanter og aromaplanter, jf. 01.28.00
- dyrkning af lægeplanter, jf. 01.28.00
- dyrkning af svampemycelium, jf. 01.30.00"
1010;4;A;01.14;114;;Dyrkning af sukkerrør;Growing of sugar cane;;;;
1011;5;A;01.14.00;11400;;Dyrkning af sukkerrør;Growing of sugar cane;"Branchen omfatter dyrkning af sukkerrør. 

Dyrkning af sukkerroer henvises til 01.13.00.";;;- dyrkning af sukkerroer, jf. 01.13.00
1012;4;A;01.15;115;;Dyrkning af tobak;Growing of tobacco;;;;
1013;5;A;01.15.00;11500;;Dyrkning af tobak;Growing of tobacco;Branchen omfatter dyrkning og den indledende forarbejdning af råtobak.;- dyrkning af råtobak;- indledende forarbejdning af tobak, når det er forbundet med dyrkning af tobak;"- tilberedning af tobaksblade (fx soltørring) af tredjemand, jf. 01.63.00
- fremstilling af tobaksvarer, jf. 12.00.00"
1014;4;A;01.16;116;;Dyrkning af tekstilplanter;Growing of fibre crops;;;;
1015;5;A;01.16.00;11600;;Dyrkning af tekstilplanter;Growing of fibre crops;Branchen omfatter dyrkning af tekstilplanter, fx bomuld, jute, hør og hamp.;"- dyrkning af tekstilplanter, fx:
• bomuld
• jute, kenaf og andre bastfibre
• hør og hamp
• sisal og andre agavefibre
• abaca, ramie og andre tekstilfiberplanter";;
1016;4;A;01.19;119;;Dyrkning af andre etårige afgrøder;Growing of other non-perennial crops;;;;
